"";"maxDepth";"error"
"1";1;0,168352813852814
"2";2;0,134739506869942
"3";3;0,140724731789949
"4";4;0,139991341991342
"5";5;0,148354037267081
"6";6;0,133038490495012
"7";7;0,144582251082251
"8";8;0,12371645021645
"9";9;0,135538961038961
"10";10;0,140675324675325
"11";11;0,14588961038961
"12";12;0,138084415584416
"13";13;0,141202428006776
"14";14;0,139318181818182
"15";15;0,132647186147186
"16";16;0,138911255411255
"17";17;0,125930735930736
"18";18;0,117487012987013
"19";19;0,123292207792208
"20";20;0,142227272727273
"21";21;0,134690476190476
"22";22;0,127950216450216
"23";23;0,148097402597403
"24";24;0,124489177489177
"25";25;0,132602860907209
"26";26;0,132453886693017
"27";27;0,12969696969697
"28";28;0,132376623376623
"29";29;0,139926406926407
"30";30;0,128
